Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Mes_num,Mes,dias_mes,homicidio_doloso,homicidio_culposo,feminicidio,total_homicidios_y_feminicidio,promedio_diario_total_homicidios
2026,27,Tabasco,27014,Paraíso,3,Marzo,31,0.0,1.0,0.0,1.0,0.03225806451612903
2026,27,Tabasco,27014,Paraíso,4,Abril,30,2.0,1.0,0.0,3.0,0.1
2026,27,Tabasco,27015,Tacotalpa,1,Enero,31,0.0,0.0,0.0,0.0,0.0
2026,27,Tabasco,27015,Tacotalpa,2,Febrero,28,0.0,0.0,0.0,0.0,0.0
2026,27,Tabasco,27015,Tacotalpa,3,Marzo,31,0.0,0.0,0.0,0.0,0.0
2026,27,Tabasco,27015,Tacotalpa,4,Abril,30,0.0,0.0,0.0,0.0,0.0
2026,27,Tabasco,27016,Teapa,1,Enero,31,2.0,1.0,0.0,3.0,0.0967741935483871
2026,27,Tabasco,27016,Teapa,2,Febrero,28,2.0,1.0,0.0,3.0,0.10714285714285714
2026,27,Tabasco,27016,Teapa,3,Marzo,31,1.0,1.0,0.0,2.0,0.06451612903225806
2026,27,Tabasco,27016,Teapa,4,Abril,30,1.0,0.0,1.0,2.0,0.06666666666666667
2026,27,Tabasco,27017,Tenosique,1,Enero,31,0.0,0.0,0.0,0.0,0.0
2026,27,Tabasco,27017,Tenosique,2,Febrero,28,1.0,1.0,0.0,2.0,0.07142857142857142
2026,27,Tabasco,27017,Tenosique,3,Marzo,31,1.0,0.0,0.0,1.0,0.03225806451612903
2026,27,Tabasco,27017,Tenosique,4,Abril,30,2.0,0.0,0.0,2.0,0.06666666666666667
