Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Mes,Mes_num,feminicidio,homicidio_culposo,homicidio_doloso,total_intencional,total_homicidios_y_feminicidio,dias_mes,promedio_diario_total_homicidios
2026,27,Tabasco,27999,No especificado,Enero,1,0,0,0,0,0,31,0.0
2026,27,Tabasco,27999,No especificado,Febrero,2,0,0,0,0,0,28,0.0
2026,27,Tabasco,27999,No especificado,Marzo,3,0,0,0,0,0,31,0.0
2026,27,Tabasco,27999,No especificado,Abril,4,0,0,0,0,0,30,0.0
2026,27,Tabasco,27999,No especificado,Mayo,5,0,0,0,0,0,31,0.0
2026,27,Tabasco,27014,Paraíso,Enero,1,0,1,0,0,1,31,0.03225806451612903
2026,27,Tabasco,27014,Paraíso,Febrero,2,0,0,2,2,2,28,0.07142857142857142
2026,27,Tabasco,27014,Paraíso,Marzo,3,0,1,0,0,1,31,0.03225806451612903
2026,27,Tabasco,27014,Paraíso,Abril,4,0,1,2,2,3,30,0.1
2026,27,Tabasco,27014,Paraíso,Mayo,5,0,3,4,4,7,31,0.22580645161290322
2026,27,Tabasco,27015,Tacotalpa,Enero,1,0,0,0,0,0,31,0.0
2026,27,Tabasco,27015,Tacotalpa,Febrero,2,0,0,0,0,0,28,0.0
2026,27,Tabasco,27015,Tacotalpa,Marzo,3,0,0,0,0,0,31,0.0
2026,27,Tabasco,27015,Tacotalpa,Abril,4,0,0,0,0,0,30,0.0
2026,27,Tabasco,27015,Tacotalpa,Mayo,5,0,0,1,1,1,31,0.03225806451612903
2026,27,Tabasco,27016,Teapa,Enero,1,0,1,2,2,3,31,0.0967741935483871
2026,27,Tabasco,27016,Teapa,Febrero,2,0,1,2,2,3,28,0.10714285714285714
2026,27,Tabasco,27016,Teapa,Marzo,3,0,1,1,1,2,31,0.06451612903225806
2026,27,Tabasco,27016,Teapa,Abril,4,1,0,1,2,2,30,0.06666666666666667
2026,27,Tabasco,27016,Teapa,Mayo,5,1,1,2,3,4,31,0.12903225806451613
2026,27,Tabasco,27017,Tenosique,Enero,1,0,0,0,0,0,31,0.0
2026,27,Tabasco,27017,Tenosique,Febrero,2,0,1,1,1,2,28,0.07142857142857142
2026,27,Tabasco,27017,Tenosique,Marzo,3,0,0,1,1,1,31,0.03225806451612903
2026,27,Tabasco,27017,Tenosique,Abril,4,0,0,2,2,2,30,0.06666666666666667
2026,27,Tabasco,27017,Tenosique,Mayo,5,0,1,4,4,5,31,0.16129032258064516
