Modalidad,Victimas,porcentaje
Con otro elemento,67,42.138364779874216
En accidente de tránsito,50,31.446540880503143
No especificado,37,23.270440251572328
Con arma blanca,3,1.8867924528301887
Con arma de fuego,2,1.257861635220126
