Año,Entidad,Cve. Municipio,Municipio,Mes_num,Mes,feminicidio,homicidio_doloso,total_intencional
2026,Tabasco,27010,Jalpa de Méndez,4,Abril,0.0,5.0,5.0
2026,Tabasco,27010,Jalpa de Méndez,5,Mayo,0.0,5.0,5.0
2026,Tabasco,27012,Macuspana,1,Enero,1.0,2.0,3.0
2026,Tabasco,27012,Macuspana,2,Febrero,1.0,0.0,1.0
2026,Tabasco,27012,Macuspana,3,Marzo,0.0,4.0,4.0
2026,Tabasco,27012,Macuspana,4,Abril,0.0,1.0,1.0
2026,Tabasco,27012,Macuspana,5,Mayo,0.0,0.0,0.0
2026,Tabasco,27013,Nacajuca,1,Enero,0.0,2.0,2.0
2026,Tabasco,27013,Nacajuca,2,Febrero,0.0,8.0,8.0
2026,Tabasco,27013,Nacajuca,3,Marzo,0.0,2.0,2.0
2026,Tabasco,27013,Nacajuca,4,Abril,0.0,2.0,2.0
2026,Tabasco,27013,Nacajuca,5,Mayo,1.0,3.0,4.0
2026,Tabasco,27999,No especificado,1,Enero,0.0,0.0,0.0
2026,Tabasco,27999,No especificado,2,Febrero,0.0,0.0,0.0
2026,Tabasco,27999,No especificado,3,Marzo,0.0,0.0,0.0
2026,Tabasco,27999,No especificado,4,Abril,0.0,0.0,0.0
2026,Tabasco,27999,No especificado,5,Mayo,0.0,0.0,0.0
2026,Tabasco,27014,Paraíso,1,Enero,0.0,1.0,1.0
2026,Tabasco,27014,Paraíso,2,Febrero,0.0,3.0,3.0
2026,Tabasco,27014,Paraíso,3,Marzo,0.0,0.0,0.0
2026,Tabasco,27014,Paraíso,4,Abril,0.0,2.0,2.0
2026,Tabasco,27014,Paraíso,5,Mayo,0.0,4.0,4.0
2026,Tabasco,27015,Tacotalpa,1,Enero,0.0,0.0,0.0
2026,Tabasco,27015,Tacotalpa,2,Febrero,0.0,0.0,0.0
2026,Tabasco,27015,Tacotalpa,3,Marzo,0.0,0.0,0.0
2026,Tabasco,27015,Tacotalpa,4,Abril,0.0,0.0,0.0
2026,Tabasco,27015,Tacotalpa,5,Mayo,0.0,1.0,1.0
2026,Tabasco,27016,Teapa,1,Enero,0.0,2.0,2.0
2026,Tabasco,27016,Teapa,2,Febrero,0.0,2.0,2.0
2026,Tabasco,27016,Teapa,3,Marzo,0.0,1.0,1.0
2026,Tabasco,27016,Teapa,4,Abril,2.0,1.0,3.0
2026,Tabasco,27016,Teapa,5,Mayo,1.0,2.0,3.0
2026,Tabasco,27017,Tenosique,1,Enero,0.0,0.0,0.0
2026,Tabasco,27017,Tenosique,2,Febrero,0.0,1.0,1.0
2026,Tabasco,27017,Tenosique,3,Marzo,0.0,1.0,1.0
2026,Tabasco,27017,Tenosique,4,Abril,0.0,2.0,2.0
2026,Tabasco,27017,Tenosique,5,Mayo,0.0,4.0,4.0
