Año,Entidad,Mes_num,Mes,homicidio_doloso,feminicidio,total_intencional
2026,Tabasco,1,Enero,48,4,52
2026,Tabasco,2,Febrero,54,3,57
2026,Tabasco,3,Marzo,59,5,64
2026,Tabasco,4,Abril,60,8,68
2026,Tabasco,5,Mayo,71,7,78
